Timestamp,AggFlow,# Lane Points,% Observed
01/01/2021 0:00,110,4,0
01/01/2021 0:05,117,4,0
01/01/2021 0:10,120,4,0
01/01/2021 0:15,113,4,0
01/01/2021 0:20,131,4,0
01/01/2021 0:25,133,4,0
01/01/2021 0:30,113,4,0
01/01/2021 0:35,114,4,0
01/01/2021 0:40,108,4,0
01/01/2021 0:45,103,4,0
01/01/2021 0:50,92,4,0
01/01/2021 0:55,84,4,0
01/01/2021 1:00,98,4,0
01/01/2021 1:05,75,4,0
01/01/2021 1:10,84,4,0
01/01/2021 1:15,87,4,0
01/01/2021 1:20,81,4,0
01/01/2021 1:25,78,4,0
01/01/2021 1:30,77,4,0
01/01/2021 1:35,79,4,0
01/01/2021 1:40,93,4,0
01/01/2021 1:45,81,4,0
01/01/2021 1:50,77,4,0
01/01/2021 1:55,84,4,0
01/01/2021 2:00,78,4,0
01/01/2021 2:05,63,4,0
01/01/2021 2:10,71,4,0
01/01/2021 2:15,67,4,0
01/01/2021 2:20,71,4,0
01/01/2021 2:25,66,4,0
01/01/2021 2:30,58,4,0
01/01/2021 2:35,65,4,0
01/01/2021 2:40,63,4,0
01/01/2021 2:45,62,4,0
01/01/2021 2:50,54,4,0
01/01/2021 2:55,58,4,0
01/01/2021 3:00,61,4,0
01/01/2021 3:05,59,4,0
01/01/2021 3:10,63,4,0
01/01/2021 3:15,66,4,0
01/01/2021 3:20,63,4,0
01/01/2021 3:25,69,4,0
01/01/2021 3:30,60,4,0
01/01/2021 3:35,70,4,0
01/01/2021 3:40,73,4,0
01/01/2021 3:45,78,4,0
01/01/2021 3:50,70,4,0
01/01/2021 3:55,67,4,0
01/01/2021 4:00,64,4,0
01/01/2021 4:05,67,4,0
01/01/2021 4:10,68,4,0
01/01/2021 4:15,64,4,0
01/01/2021 4:20,70,4,0
01/01/2021 4:25,71,4,0
01/01/2021 4:30,66,4,0
01/01/2021 4:35,74,4,0
01/01/2021 4:40,76,4,0
01/01/2021 4:45,78,4,0
01/01/2021 4:50,81,4,0
01/01/2021 4:55,66,4,0
01/01/2021 5:00,74,4,0
01/01/2021 5:05,70,4,0
01/01/2021 5:10,89,4,0
01/01/2021 5:15,95,4,0
01/01/2021 5:20,95,4,0
01/01/2021 5:25,84,4,0
01/01/2021 5:30,112,4,0
01/01/2021 5:35,120,4,0
01/01/2021 5:40,114,4,0
01/01/2021 5:45,146,4,0
01/01/2021 5:50,121,4,0
01/01/2021 5:55,107,4,0
01/01/2021 6:00,109,4,0
01/01/2021 6:05,96,4,0
01/01/2021 6:10,105,4,0
01/01/2021 6:15,95,4,0
01/01/2021 6:20,103,4,0
01/01/2021 6:25,115,4,0
01/01/2021 6:30,116,4,0
01/01/2021 6:35,106,4,0
01/01/2021 6:40,104,4,0
01/01/2021 6:45,105,4,0
01/01/2021 6:50,131,4,0
01/01/2021 6:55,100,4,0
01/01/2021 7:00,104,4,0
01/01/2021 7:05,114,4,0
01/01/2021 7:10,98,4,0
01/01/2021 7:15,113,4,0
01/01/2021 7:20,114,4,0
01/01/2021 7:25,106,4,0
01/01/2021 7:30,117,4,0
01/01/2021 7:35,129,4,0
01/01/2021 7:40,136,4,0
01/01/2021 7:45,144,4,0
01/01/2021 7:50,136,4,0
01/01/2021 7:55,133,4,0
01/01/2021 8:00,121,4,0
01/01/2021 8:05,103,4,0
01/01/2021 8:10,136,4,0
01/01/2021 8:15,133,4,0
01/01/2021 8:20,176,4,0
01/01/2021 8:25,168,4,0
01/01/2021 8:30,164,4,0
01/01/2021 8:35,199,4,0
01/01/2021 8:40,132,4,0
01/01/2021 8:45,154,4,0
01/01/2021 8:50,155,4,0
01/01/2021 8:55,158,4,0
01/01/2021 9:00,164,4,0
01/01/2021 9:05,163,4,0
01/01/2021 9:10,148,4,0
01/01/2021 9:15,134,4,0
01/01/2021 9:20,145,4,0
01/01/2021 9:25,142,4,0
01/01/2021 9:30,160,4,0
01/01/2021 9:35,154,4,0
01/01/2021 9:40,182,4,0
01/01/2021 9:45,278,4,0
01/01/2021 9:50,279,4,0
01/01/2021 9:55,258,4,0
01/01/2021 10:00,271,4,0
01/01/2021 10:05,248,4,0
01/01/2021 10:10,264,4,0
01/01/2021 10:15,255,4,0
01/01/2021 10:20,277,4,0
01/01/2021 10:25,271,4,0
01/01/2021 10:30,235,4,0
01/01/2021 10:35,236,4,0
01/01/2021 10:40,295,4,0
01/01/2021 10:45,272,4,0
01/01/2021 10:50,274,4,0
01/01/2021 10:55,256,4,0
01/01/2021 11:00,268,4,0
01/01/2021 11:05,268,4,0
01/01/2021 11:10,242,4,0
01/01/2021 11:15,289,4,0
01/01/2021 11:20,300,4,0
01/01/2021 11:25,262,4,0
01/01/2021 11:30,265,4,0
01/01/2021 11:35,279,4,0
01/01/2021 11:40,281,4,0
01/01/2021 11:45,276,4,0
01/01/2021 11:50,284,4,0
01/01/2021 11:55,258,4,0
01/01/2021 12:00,289,4,0
01/01/2021 12:05,258,4,0
01/01/2021 12:10,263,4,0
01/01/2021 12:15,277,4,0
01/01/2021 12:20,297,4,0
01/01/2021 12:25,285,4,0
01/01/2021 12:30,298,4,0
01/01/2021 12:35,301,4,0
01/01/2021 12:40,273,4,0
01/01/2021 12:45,192,4,0
01/01/2021 12:50,189,4,0
01/01/2021 12:55,166,4,0
01/01/2021 13:00,239,4,0
01/01/2021 13:05,274,4,0
01/01/2021 13:10,257,4,0
01/01/2021 13:15,270,4,0
01/01/2021 13:20,267,4,0
01/01/2021 13:25,239,4,0
01/01/2021 13:30,128,4,0
01/01/2021 13:35,121,4,0
01/01/2021 13:40,128,4,0
01/01/2021 13:45,123,4,0
01/01/2021 13:50,123,4,0
01/01/2021 13:55,132,4,0
01/01/2021 14:00,115,4,0
01/01/2021 14:05,126,4,0
01/01/2021 14:10,120,4,0
01/01/2021 14:15,108,4,0
01/01/2021 14:20,117,4,0
01/01/2021 14:25,121,4,0
01/01/2021 14:30,261,4,0
01/01/2021 14:35,244,4,0
01/01/2021 14:40,271,4,0
01/01/2021 14:45,274,4,0
01/01/2021 14:50,282,4,0
01/01/2021 14:55,254,4,0
01/01/2021 15:00,271,4,0
01/01/2021 15:05,275,4,0
01/01/2021 15:10,286,4,0
01/01/2021 15:15,243,4,0
01/01/2021 15:20,244,4,0
01/01/2021 15:25,267,4,0
01/01/2021 15:30,269,4,0
01/01/2021 15:35,261,4,0
01/01/2021 15:40,279,4,0
01/01/2021 15:45,278,4,0
01/01/2021 15:50,311,4,0
01/01/2021 15:55,277,4,0
01/01/2021 16:00,282,4,0
01/01/2021 16:05,284,4,0
01/01/2021 16:10,275,4,0
01/01/2021 16:15,252,4,0
01/01/2021 16:20,256,4,0
01/01/2021 16:25,265,4,0
01/01/2021 16:30,247,4,0
01/01/2021 16:35,240,4,0
01/01/2021 16:40,229,4,0
01/01/2021 16:45,179,4,0
01/01/2021 16:50,179,4,0
01/01/2021 16:55,174,4,0
01/01/2021 17:00,209,4,0
01/01/2021 17:05,116,4,0
01/01/2021 17:10,123,4,0
01/01/2021 17:15,119,4,0
01/01/2021 17:20,125,4,0
01/01/2021 17:25,122,4,0
01/01/2021 17:30,123,4,0
01/01/2021 17:35,124,4,0
01/01/2021 17:40,118,4,0
01/01/2021 17:45,123,4,0
01/01/2021 17:50,125,4,0
01/01/2021 17:55,125,4,0
01/01/2021 18:00,113,4,0
01/01/2021 18:05,117,4,0
01/01/2021 18:10,119,4,0
01/01/2021 18:15,123,4,0
01/01/2021 18:20,120,4,0
01/01/2021 18:25,113,4,0
01/01/2021 18:30,115,4,0
01/01/2021 18:35,114,4,0
01/01/2021 18:40,121,4,0
01/01/2021 18:45,115,4,0
01/01/2021 18:50,117,4,0
01/01/2021 18:55,115,4,0
01/01/2021 19:00,104,4,0
01/01/2021 19:05,112,4,0
01/01/2021 19:10,115,4,0
01/01/2021 19:15,111,4,0
01/01/2021 19:20,115,4,0
01/01/2021 19:25,109,4,0
01/01/2021 19:30,105,4,0
01/01/2021 19:35,116,4,0
01/01/2021 19:40,105,4,0
01/01/2021 19:45,108,4,0
01/01/2021 19:50,110,4,0
01/01/2021 19:55,105,4,0
01/01/2021 20:00,110,4,0
01/01/2021 20:05,218,4,0
01/01/2021 20:10,198,4,0
01/01/2021 20:15,208,4,0
01/01/2021 20:20,235,4,0
01/01/2021 20:25,236,4,0
01/01/2021 20:30,211,4,0
01/01/2021 20:35,230,4,0
01/01/2021 20:40,205,4,0
01/01/2021 20:45,200,4,0
01/01/2021 20:50,217,4,0
01/01/2021 20:55,201,4,0
01/01/2021 21:00,187,4,0
01/01/2021 21:05,209,4,0
01/01/2021 21:10,212,4,0
01/01/2021 21:15,194,4,0
01/01/2021 21:20,191,4,0
01/01/2021 21:25,201,4,0
01/01/2021 21:30,161,4,0
01/01/2021 21:35,195,4,0
01/01/2021 21:40,183,4,0
01/01/2021 21:45,185,4,0
01/01/2021 21:50,184,4,0
01/01/2021 21:55,184,4,0
01/01/2021 22:00,185,4,0
01/01/2021 22:05,162,4,0
01/01/2021 22:10,179,4,0
01/01/2021 22:15,161,4,0
01/01/2021 22:20,133,4,0
01/01/2021 22:25,137,4,0
01/01/2021 22:30,106,4,0
01/01/2021 22:35,81,4,0
01/01/2021 22:40,85,4,0
01/01/2021 22:45,88,4,0
01/01/2021 22:50,86,4,0
01/01/2021 22:55,84,4,0
01/01/2021 23:00,86,4,0
01/01/2021 23:05,83,4,0
01/01/2021 23:10,83,4,0
01/01/2021 23:15,123,4,0
01/01/2021 23:20,106,4,0
01/01/2021 23:25,96,4,0
01/01/2021 23:30,79,4,0
01/01/2021 23:35,78,4,0
01/01/2021 23:40,79,4,0
01/01/2021 23:45,77,4,0
01/01/2021 23:50,75,4,0
01/01/2021 23:55,71,4,0
02/01/2021 0:00,110,4,0
02/01/2021 0:05,117,4,0
02/01/2021 0:10,120,4,0
02/01/2021 0:15,113,4,0
02/01/2021 0:20,131,4,0
02/01/2021 0:25,133,4,0
02/01/2021 0:30,113,4,0
02/01/2021 0:35,114,4,0
02/01/2021 0:40,108,4,0
02/01/2021 0:45,103,4,0
02/01/2021 0:50,92,4,0
02/01/2021 0:55,84,4,0
